Ni	28	51	0.0238	EC
Ni	28	52	0.0408	EC
Ni	28	53	0.0552	EC
Ni	28	54	0.104	EC
Ni	28	55	0.205	EC
Ni	28	56	525000.0	EC
Ni	28	57	128000.0	EC
Ni	28	58	inf	None
Ni	28	59	2400000000000.0	EC
Ni	28	60	inf	None
Ni	28	61	inf	None
Ni	28	62	inf	None
Ni	28	63	3190000000.0	B-
Ni	28	64	inf	None
Ni	28	65	9060.0	B-
Ni	28	66	197000.0	B-
Ni	28	67	21.0	B-
Ni	28	68	29.0	B-
Ni	28	69	11.2	B-
Ni	28	70	6.0	B-
Ni	28	71	2.56	B-
Ni	28	72	1.57	B-
Ni	28	73	0.84	B-
Ni	28	74	0.68	B-
Ni	28	75	0.344	B-
Ni	28	76	0.238	B-
Ni	28	77	0.128	B-
Ni	28	78	0.11	B-
Ni	28	79	6.35e-07	B-
Cu	29	52	0.0	P
Cu	29	53	3e-07	EC
Cu	29	54	7.5e-08	P
Cu	29	55	0.027	EC
Cu	29	56	0.093	EC
Cu	29	57	0.196	EC
Cu	29	58	3.2	EC
Cu	29	59	81.5	EC
Cu	29	60	1420.0	EC
Cu	29	61	12000.0	EC
Cu	29	62	580.0	EC
Cu	29	63	inf	None
Cu	29	64	45700.0	EC
Cu	29	65	inf	None
Cu	29	66	307.0	B-
Cu	29	67	223000.0	B-
Cu	29	68	30.9	B-
Cu	29	69	171.0	B-
Cu	29	70	44.5	B-
Cu	29	71	19.4	B-
Cu	29	72	6.63	B-
Cu	29	73	4.2	B-
Cu	29	74	1.59	B-
Cu	29	75	1.22	B-
Cu	29	76	0.637	B-
Cu	29	77	0.468	B-
Cu	29	78	0.335	B-
Cu	29	79	0.188	B-
Cu	29	80	0.17	B-
Cu	29	81	6.32e-07	B-
Cu	29	82	6.36e-07	B-
Zn	30	54	0.00159	2P
Zn	30	55	0.0198	EC
Zn	30	56	0.03	EC
Zn	30	57	0.038	EC
Zn	30	58	0.086	EC
Zn	30	59	0.182	EC
Zn	30	60	143.0	EC
Zn	30	61	89.1	EC
Zn	30	62	33100.0	EC
Zn	30	63	2310.0	EC
Zn	30	64	2.21e+28	2EC
Zn	30	65	21100000.0	EC
Zn	30	66	inf	None
